MO_Code,Description
927,Fraudulent or forged school loan
928,Forged or Fraudulent credit applications
929,Unauthorized use of victim's bank account information
930,Unauthorized use of victim's credit/debit card or number
931,Counterfeit or forged real estate documents
932,Suspect uses victim's identity in reporting a traffic collision
933,Suspect uses victim's identity when arrested
934,Suspect uses victim's identity when receiving a citation
935,Misc. Stolen/Forged documents
936,Dog Fighting
937,Cock Fighting
938,Animal Neglect
939,Animal Hoarding
940,Met online/Chat Room/on Party Line
941,Non-Revocable Parole (NRP)
942,Party/Flier party/Rave Party
943,Human Trafficking
944,Bait Operation
945,Estes Robbery
946,Gang Feud
1000,Suspects offers/solicits
1001,Aid for vehicle
1002,Amusement
1003,appraise
1004,Assistant
1005,Audition
1006,Bless
1007,Candy
1008,Cigarette
1009,Directions
1010,Drink (not liquor)
1011,Employment
1012,Find a job
1013,Food
1014,Game
1015,Gift
1016,Hold for safekeeping
1017,Information
1018,Liquor
1019,Money
1020,Narcotics
1021,Repair
1022,Ride
1023,Subscriptions
1024,Teach
1025,Train
1026,Use the phone or toilet
1027,Change
1028,Suspect solicits time of day
1100,Shots Fired
1101,Shots Fired (Animal) - Animal Services
1201,Absent-advertised in paper
1202,Aged (60 & over) or blind/crippled/unable to care for self
1203,Victim of crime past 12 months
1204,Moving
1205,On Vacation/Tourist
1206,Under influence drugs/liquor
1207,Hitchhiker
1208,Illegal Alien
1209,"Salesman, Jewelry"
1210,"Professional (doctor, Lawyer, etc.)"
1211,Public Official
1212,LA Police Officer
1213,LA Fireman
1214,"Banking, ATM"
1215,Prostitute
1216,Sales
1217,Teenager(Use if victim's age is unknown)
1218,Victim was Homeless/Transient
1219,Nude
1220,Partially Nude
1221,Missing Clothing/Jewelry
1222,Homosexual/Gay
1223,Riding bike
1224,Drive-through (not merchant)
1225,Stop sign/light
1226,Catering Truck Operator
1227,Delivery person
1228,Leaving Business Area
1229,Making bank drop
1230,Postal employee
1231,Taxi Driver
1232,"Bank, Arriving at"
1233,"Bank, Leaving"
1234,Bar Customer
1235,Bisexual/sexually oriented towards both sexes
1236,Clerk/Employer/Owner
1237,Customer
1238,Handicapped
1239,Transgender
1240,Vehicle occupant/Passenger
1241,Spouse
1242,Parent
1243,Co-habitants
1244,Victim was forced into business
1245,Victim was forced into residence
1247,Opening business
1248,Closing business
1251,Victim was a student
1252,Victim was a street vendor
1253,Bus Driver
1254,Train Operator
1255,Followed Transit System
1256,Patron
1257,Victim is Newborn-5 years old
1258,Victim is 6 years old thru 13 years old
1259,Victim is 14 years old thru 17 years old
1260,Deaf/Hearing Impaired
1261,Mentally Challenged/Retarded/Intellectually Slow
1262,Raped while unconscious
1263,Agricultural Target
1264,Pipeline
1265,Mailbox
1266,Victim was security guard
1267,Home under construction
1268,Victim was 5150/Mental Illness
1269,Victim was armored car driver
1270,Victim was gang member
1271,Victim was Law Enforcement (not LAPD)
1272,Victim as at/leaving medical marijuana clinic
1273,Home was being fumigated
1274,Victim was Inmate/Incarcerated
1275,Vacant Residence/Building
1276,Pregnant
1277,Gardner
1278,Victim was Uber/Lyft driver
1279,Victim was Foster child
1280,Victim was Foster parent
1281,Victim was Pistol-whipped
1300,Vehicle involved
1301,Forced victim vehicle to curb
1302,Suspect forced way into victim's vehicle
1303,Hid in rear seat
1304,"Stopped victim vehicle by flagging down, forcing T/A, etc."
1305,Victim forced into vehicle
1306,"Victim parking, garaging vehicle"
1307,Breaks window
1308,Drives by and snatches property
1309,Susp uses vehicle
1310,Victim in vehicle
1311,Victim removed from vehicle
1312,Suspect follows victim in vehicle
1313,Suspect exits vehicle and attacks pedestrian
1314,Victim loading vehicle
1315,Victim unloading vehicle
1316,Victim entering their vehicle
1317,Victim exiting their vehicle
1318,Suspect follows victim home
1401,Blood Stains
1402,Evidence Booked (any crime)
1403,Fingerprints
1404,Footprints
1405,Left Note
1406,Tool Marks
1407,Bullets/Casings
1408,Bite Marks
1409,Clothes
1410,Gun Shot Residue
1411,Hair
1412,Jewelry
1413,Paint
1414,Photographs
1415,Rape Kit
1416,Saliva
1417,Semen
1418,Skeleton/Bones
1419,Firearm booked as evidence
1420,Video surveillance booked/available
1501,Other MO (see rpt)
1601,Bodily Force
1602,Cutting Tool
1603,Knob Twist
1604,Lock Box
1605,Lock slip/key/pick
1606,Open/unlocked
1607,Pried
1608,Removed
1609,Smashed
1610,Tunneled
1611,Shaved Key
1612,Punched/Pulled Door Lock
1701,Elder Abuse/Physical
1702,Elder Abuse/Financial
1801,Susp is/was mother's boyfriend
1802,Susp is/was victim's co-worker
1803,Susp is/was victim's employee
1804,Susp is/was victim's employer
1805,Susp is/was fellow gang member
1806,Susp is/was father's girlfriend
1807,Susp is/was priest/pastor
1808,Susp is/was other religious confidant
1809,Susp is/was rival gang member
1810,Susp is/was roommate
1811,Susp is/was victim's teacher/coach
1812,Susp is/was foster parent/sibling
1813,Susp is/was current/former spouse/co-habitant
1814,Susp is/was current/former boyfriend/girlfriend
1815,Susp was student
1816,Suspect is/was known gang member
1817,Acquaintance
1818,Caretaker/care-giver/nanny
1819,Common-law Spouse
1820,Friend
1821,Spouse
1822,Stranger
1823,Brief encounter/Date
1824,Classmate
1900,"Auction Fraud/eBay/cragslist,etc. (Internet based theft)"
1901,Child Pornography/In possession of/Via computer
1902,Credit Card Fraud/Theft of services via internet
1903,Cyberstalking (Stalking using internet to commit the crime)
1904,Denial of computer services
1905,Destruction of computer data
1906,Harrassing E-Mail/Text Message/Other Electronic Communications
1907,Hate Crime materials/printouts/e-mails
1908,Identity Theft via computer
1909,Introduction of virus or contaminants into computer system/program
1910,Minor solicited for sex via internet/Known minor
1911,Theft of computer data
1912,Threatening E-mail/Text Messages
1913,Suspect meets victim on internet/chatroom
1914,Unauthorized access to computer system
1915,Internet Extortion
1916,Victim paid by wire transfer
2000,Domestic violence
2001,Suspect on drugs
2002,Suspect intoxicated/drunk
2003,Suspect 5150/mentally challenged or disturbed
2004,Suspect is homeless/transient
2005,Suspect uses wheelchair
2006,Suspect was transgender
2007,Suspect was homosexual/gay
2008,In possession of a Ballistic vest
2009,Suspect was Inmate/Incarcerated
2010,Suspect was Jailer/Police Officer
2011,Vendor (street or sidewalk)
2012,"costumed character (e.g., Barney, Darth Vader, Spiderman, etc.)"
2013,Tour Bus/Van Operator
2014,Suspect was Uber/Lyft driver
2015,Suspect was Foster child
9999,Indistinctive MO
